datevec,Sea,Temp,IceSAt,IceSAtmas1,IceSAtmas2
1912m6,-119.1,-.23,12258870,12163710,12201931
1912m7,-118.3,-.42,12163710,12201931,12189149
1912m8,-117,-.5600000000000001,12201931,12189149,12347960
1912m9,-117.5,-.47,12189149,12347960,12119065
1912m10,-117.1,-.55,12347960,12119065,12038179
1912m11,-115.1,-.35,12119065,12038179,12021653
1912m12,-112.8,-.38,12038179,12021653,12046768
1913m1,-118.2,-.42,12021653,12046768,12091039
1913m2,-121.6,-.37,12046768,12091039,11942395
1913m3,-126.6,-.42,12091039,11942395,11822503
1913m4,-126.1,-.4,11942395,11822503,12022402
1913m5,-124.4,-.42,11822503,12022402,12498909
1913m6,-119.1,-.48,12022402,12498909,12528053
1913m7,-115.6,-.33,12498909,12528053,12437161
1913m8,-112.7,-.29,12528053,12437161,12179752
1913m9,-112.4,-.3,12437161,12179752,12132692
1913m10,-113.2,-.35,12179752,12132692,12216746
1913m11,-109.2,-.23,12132692,12216746,12238947
1913m12,-114.4,-.06,12216746,12238947,12084716
1914m1,-109.3,-.06,12238947,12084716,12151745
1914m2,-115.4,-.13,12084716,12151745,11893375
1914m3,-113.7,-.23,12151745,11893375,12130694
1914m4,-116.5,-.27,11893375,12130694,11998820
1914m5,-115.2,-.19,12130694,11998820,11943252
1914m6,-118.3,-.21,11998820,11943252,11803504
1914m7,-118.1,-.21,11943252,11803504,11259685
1914m8,-120.9,-.18,11803504,11259685,11608413
1914m9,-115.4,-.2,11259685,11608413,11904059
1914m10,-110.2,-.04,11608413,11904059,12050115
1914m11,-97.40000000000001,-.21,11904059,12050115,12022295
1914m12,-87,-.18,12050115,12022295,12106341
1915m1,-82.09999999999999,-.24,12022295,12106341,11959994
1915m2,-83.59999999999999,-.09,12106341,11959994,11969004
1915m3,-91.5,-.16,11959994,11969004,11600285
1915m4,-100.7,-.02,11969004,11600285,11981684
1915m5,-106.9,-.05,11600285,11981684,11855190
1915m6,-109.5,-.04,11981684,11855190,11775053
1915m7,-112,-.03,11855190,11775053,11824754
1915m8,-112.8,-.13,11775053,11824754,12071943
1915m9,-113.8,-.08,11824754,12071943,12100908
1915m10,-113.6,-.22,12071943,12100908,12043741
1915m11,-108.1,-.13,12100908,12043741,12065506
1915m12,-108.4,-.21,12043741,12065506,12042367
1916m1,-102.1,-.19,12065506,12042367,11983408
1916m2,-104.7,-.18,12042367,11983408,11641228
1916m3,-99.5,-.34,11983408,11641228,12008665
1916m4,-102.5,-.28,11641228,12008665,12231452
1916m5,-101.2,-.34,12008665,12231452,12429368
1916m6,-106.4,-.39,12231452,12429368,12416554
1916m7,-110.1,-.29,12429368,12416554,12437696
1916m8,-114.3,-.22,12416554,12437696,12376402
1916m9,-112,-.28,12437696,12376402,12266291
1916m10,-110.1,-.21,12376402,12266291,12192251
1916m11,-102.2,-.38,12266291,12192251,12178742
1916m12,-101.1,-.64,12192251,12178742,12263307
1917m1,-101.2,-.42,12178742,12263307,12430343
1917m2,-107.5,-.51,12263307,12430343,12567988
1917m3,-110.8,-.52,12430343,12567988,12587569
1917m4,-114.3,-.4,12567988,12587569,12453059
1917m5,-113.5,-.57,12587569,12453059,12347585
1917m6,-112.3,-.38,12453059,12347585,12440822
1917m7,-108.5,-.19,12347585,12440822,12634087
1917m8,-109.1,-.22,12440822,12634087,12396155
1917m9,-109.9,-.17,12634087,12396155,12297859
1917m10,-111.5,-.38,12396155,12297859,12323631
1917m11,-112.1,-.31,12297859,12323631,12318395
1917m12,-109.7,-.71,12323631,12318395,12364325
1918m1,-108.1,-.51,12318395,12364325,12255239
1918m2,-111.9,-.46,12364325,12255239,11931566
1918m3,-113.6,-.31,12255239,11931566,12564710
1918m4,-115.5,-.47,11931566,12564710,12306797
1918m5,-113,-.48,12564710,12306797,12460036
1918m6,-111.1,-.37,12306797,12460036,12406141
1918m7,-110.5,-.3,12460036,12406141,12444101
1918m8,-112,-.41,12406141,12444101,12208782
1918m9,-108.3,-.26,12444101,12208782,12148928
1918m10,-110.4,-.1,12208782,12148928,12107559
1918m11,-110.2,-.23,12148928,12107559,12080726
1918m12,-114.8,-.36,12107559,12080726,12013828
1919m1,-116.5,-.2,12080726,12013828,12117569
1919m2,-118.3,-.23,12013828,12117569,12189760
1919m3,-116.7,-.21,12117569,12189760,12152500
1919m4,-113.8,-.14,12189760,12152500,12092984
1919m5,-111.1,-.2,12152500,12092984,12016741
1919m6,-104.6,-.21,12092984,12016741,11993060
1919m7,-105.4,-.22,12016741,11993060,11871613
1919m8,-101.9,-.18,11993060,11871613,11983333
1919m9,-103.6,-.14,11871613,11983333,12051138
1919m10,-106.9,-.2,11983333,12051138,12029801
1919m11,-108.3,-.46,12051138,12029801,12026476
1919m12,-112.8,-.35,12029801,12026476,12002498
1920m1,-113.3,-.14,12026476,12002498,11908632
1920m2,-115.3,-.23,12002498,11908632,11702539
1920m3,-114.6,-.02,11908632,11702539,11316175
1920m4,-110.5,-.16,11702539,11316175,11359588
1920m5,-105.8,-.14,11316175,11359588,11923889
1920m6,-102,-.22,11359588,11923889,12222925
1920m7,-101.6,-.27,11923889,12222925,12323216
1920m8,-104.4,-.22,12222925,12323216,12101034
1920m9,-108,-.23,12323216,12101034,12048636
1920m10,-109.2,-.28,12101034,12048636,12012302
1920m11,-110.6,-.32,12048636,12012302,12009472
1920m12,-108.5,-.47,12012302,12009472,11989994
1921m1,-108.4,-.05,12009472,11989994,11947604
1921m2,-105.3,-.18,11989994,11947604,12011345
